id,term,slug,sense,theme,centuries,authors,works,active_variants,relations,public_url
TAH-000011,Cornisa,cornisa,"Miembro superior y proyectante del entablamento, dispuesto sobre el friso, que corona el conjunto y contribuye a proteger y rematar sus partes inferiores.",Elementos y partes arquitectónicas,XVI | XVIII | XIX,Diego de Sagredo | Jacopo Barozzi da Vignola / Patricio Caxés | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,"Medidas del Romano, segunda edición consultada | Regla de las cinco órdenes de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Los cuatro libros de arquitectura | Diccionario de arquitectura civil",,Entablamento | Friso,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/cornisa/
TAH-000012,Decoro,decoro,"Principio de adecuación que ajusta la forma, la disposición y el ornato de un edificio a su uso, condición, costumbre y emplazamiento.","Tipología, composición y espacio",XVI | XVIII | XIX,León Battista Alberti / Francisco Lozano | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,Los diez libros de architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Los cuatro libros de arquitectura | Diccionario de arquitectura civil,Propiedad,Arquitectura | Orden,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/decoro/
TAH-000013,Dovela,dovela,"Pieza, ordinariamente labrada en forma de cuña, que integra un arco o una bóveda y transmite las cargas hacia las piezas contiguas y los apoyos.",Elementos y partes arquitectónicas,XVIII | XIX,Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Benito Bails | P. C. Espinosa,Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Diccionario de arquitectura civil | Manual de construcciones de albañilería,dovelas,Arco | Bóveda | Clave,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/dovela/
TAH-000014,Economía,economia,"Principio que ajusta dimensiones, disposición, materiales y gasto a las condiciones de la obra, del lugar y de los recursos disponibles.",Sin clasificación temática forzada,XVIII | XIX,Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Benito Bails,Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Diccionario de arquitectura civil,,Arquitectura | Mortero,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/economia/
TAH-000015,Entablamento,entablamento,"Conjunto horizontal dispuesto sobre columnas o pilastras, compuesto por arquitrabe, friso y cornisa, cuyas proporciones y miembros varían según el orden.",Elementos y partes arquitectónicas,XVI | XVIII | XIX,Diego de Sagredo | Jacopo Barozzi da Vignola / Patricio Caxés | Claude Perrault / Joseph Castañeda | Diego Antonio Rejón de Silva | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,"Medidas del Romano, segunda edición consultada | Regla de las cinco órdenes de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Diccionario de las Nobles Artes | Los cuatro libros de arquitectura | Diccionario de arquitectura civil",entablamiento,Arquitrabe | Friso | Cornisa | Orden | Columna,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/entablamento/
TAH-000016,Estribo,estribo,"Cuerpo de fábrica que recibe y contrarresta los empujes transmitidos por un arco, una bóveda u otra estructura de descarga.",Elementos y partes arquitectónicas,XVI | XVIII | XIX,Sebastiano Serlio / Francisco de Villalpando | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Benito Bails | P. C. Espinosa,Tercero y quarto libro de Architectura | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Diccionario de arquitectura civil | Manual de construcciones de albañilería,estrivo,Arco | Bóveda | Machón,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/estribo/
TAH-000017,Friso,friso,"Miembro intermedio del entablamento, colocado sobre el arquitrabe y bajo la cornisa, que puede ser liso, ornamentado o articulado con triglifos y metopas.",Elementos y partes arquitectónicas,XVI | XVIII | XIX,Diego de Sagredo | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,"Medidas del Romano, segunda edición consultada | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Los cuatro libros de arquitectura | Diccionario de arquitectura civil",frisos,Entablamento | Arquitrabe | Cornisa | Triglifo | Metopa,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/friso/
TAH-000018,Intercolumnio,intercolumnio,"Intervalo entre dos columnas contiguas, cuya dimensión y relación con el diámetro de la columna determinan distintos sistemas de disposición.","Geometría, trazado, medida y proporción",XVI | XVIII | XIX,Diego de Sagredo | Sebastiano Serlio / Francisco de Villalpando | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,"Medidas del Romano, segunda edición consultada | Tercero y quarto libro de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Los cuatro libros de arquitectura | Diccionario de arquitectura civil",intercolunio | entrecolumnio,Columna | Proporción | Orden,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/intercolumnio/
TAH-000019,Jaharro,jaharro,Capa preparatoria de mortero aplicada sobre una fábrica para regularizar su superficie y recibir posteriormente un enlucido u otro acabado.,Técnicas constructivas y procesos de ejecución,XVIII | XIX,Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails | P. C. Espinosa,Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Los cuatro libros de arquitectura | Diccionario de arquitectura civil | Manual de construcciones de albañilería,jaharrar | harrar | jarrado | japirado,Mortero,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/jaharro/
TAH-000020,Machón,machon,"Cuerpo vertical macizo de fábrica o cantería que recibe arcos, refuerza muros o concentra cargas, aislado o incorporado a otro elemento.",Elementos y partes arquitectónicas,XVIII | XIX,Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Los cuatro libros de arquitectura | Diccionario de arquitectura civil,machon,Arco | Bóveda | Estribo,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/machon/
TAH-000021,Metopa,metopa,"Espacio o tablero del friso dórico dispuesto entre dos triglifos, que puede permanecer liso o recibir ornamentación figurada.",Elementos y partes arquitectónicas,XVI | XVIII | XIX,Sebastiano Serlio / Francisco de Villalpando | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Benito Bails,Tercero y quarto libro de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Diccionario de arquitectura civil,métopa | metopas,Friso | Triglifo,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/metopa/
TAH-000022,Montea,montea,"Traza geométrica, ordinariamente a escala natural, que determina la forma, el corte y el ensamblaje de las piezas de una obra de cantería.","Cantería, corte y estereotomía",XVIII | XIX,Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Benito Bails | P. C. Espinosa,Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Diccionario de arquitectura civil | Manual de construcciones de albañilería,montear | arte de la montea,Sillería | Dovela | Arco | Bóveda,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/montea/
TAH-000023,Mortero,mortero,"Mezcla aglomerante preparada principalmente con cal, arena y agua, utilizada históricamente para unir piezas, rellenar juntas o formar revestimientos.",Materiales,XVI | XVIII | XIX,Diego de Sagredo | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Benito Bails,"Medidas del Romano, segunda edición consultada | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Diccionario de arquitectura civil",,Sillería | Tapia/Tapial | Jaharro,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/mortero/
TAH-000024,Orden,orden,"Sistema formal de arquitectura que regula las proporciones, los miembros y el ornato de columnas y entablamentos según caracteres históricos determinados.",Órdenes arquitectónicos y lenguaje clásico,XVI | XVIII | XIX,Diego de Sagredo | Sebastiano Serlio / Francisco de Villalpando | Jacopo Barozzi da Vignola / Patricio Caxés | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,"Medidas del Romano, segunda edición consultada | Tercero y quarto libro de Architectura | Regla de las cinco órdenes de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Los cuatro libros de arquitectura | Diccionario de arquitectura civil",órden | Orden de Arquitectura | órdenes,Columna | Basa | Capitel | Entablamento,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/orden/
TAH-000025,Proporción,proporcion,"Relación de medida entre las partes de una obra y entre cada parte y el conjunto, establecida mediante un módulo o referencia común.","Geometría, trazado, medida y proporción",XVI | XVIII | XIX,Diego de Sagredo | Sebastiano Serlio / Francisco de Villalpando | Jacopo Barozzi da Vignola / Patricio Caxés | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,"Medidas del Romano, segunda edición consultada | Tercero y quarto libro de Architectura | Regla de las cinco órdenes de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Los cuatro libros de arquitectura | Diccionario de arquitectura civil",,Simetría | Orden | Columna | Intercolumnio,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/proporcion/
TAH-000026,Sillería,silleria,"Fábrica formada con sillares o piezas regulares de piedra labrada, asentadas en hiladas y trabadas de acuerdo con la disposición constructiva de la obra.",Técnicas constructivas y procesos de ejecución,XVI | XVIII | XIX,Sebastiano Serlio / Francisco de Villalpando | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,Tercero y quarto libro de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Los cuatro libros de arquitectura | Diccionario de arquitectura civil,,Dovela | Montea | Mortero,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/silleria/
TAH-000027,Simetría,simetria,"Correspondencia mensurable entre las partes de una obra y su totalidad, fundada en una medida común y en relaciones proporcionales.","Geometría, trazado, medida y proporción",XVIII | XIX,Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Benito Bails,Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Diccionario de arquitectura civil,Symmetria | Simetria,Proporción | Orden,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/simetria/
TAH-000028,Tapia/Tapial,tapia-tapial,"Sistema de construcción con tierra húmeda compactada entre tableros: la fábrica o porción ejecutada se denomina tapia y el molde o sus tableros, tapial.",Técnicas constructivas y procesos de ejecución,XVIII | XIX,Diego Antonio Rejón de Silva | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails | P. C. Espinosa,Diccionario de las Nobles Artes | Los cuatro libros de arquitectura | Diccionario de arquitectura civil | Manual de construcciones de albañilería,Tapia | tapial | tapias | tapiales | tapia acerada,Mortero,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/tapia-tapial/
TAH-000029,Triglifo,triglifo,"Miembro saliente del friso dórico, dispuesto según el ritmo de columnas e intercolumnios y caracterizado por dos canales completas y dos medias canales laterales.",Elementos y partes arquitectónicas,XVIII | XIX,Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Los cuatro libros de arquitectura | Diccionario de arquitectura civil,triglypho | triglifos,Friso | Metopa | Intercolumnio,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/triglifo/
